,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
0,1,3/20/2011,442,446,446,446,0,200,89200
1,2,3/24/2011,460,462,460,462,0,1050,483600
2,3,3/25/2011,462,465,460,460,0,2360,1088780
3,4,3/27/2011,460,458,454,458,0,1740,795740
4,5,3/28/2011,458,458,450,450,0,1350,609940
5,6,3/29/2011,450,445,440,440,0,1400,616800
6,7,3/30/2011,440,450,436,450,0,2460,1097260
7,8,3/31/2011,450,455,455,455,0,150,68250
8,9,4/4/2011,455,455,450,455,0,1110,500600
9,10,4/5/2011,455,460,456,460,0,1400,642900
10,11,4/6/2011,460,460,460,460,0,530,243800
11,12,4/7/2011,460,465,456,460,0,3430,1578600
12,13,4/10/2011,460,461,455,461,0,10520,4834740
13,14,4/11/2011,461,460,452,459,0,4420,2007830
14,15,4/13/2011,459,481,459,474,0,3010,1418900
15,16,4/20/2011,474,466,466,466,0,10,4660
16,17,4/21/2011,466,460,460,460,0,10,4600
17,18,4/27/2011,460,451,423,424,0,470,204950
18,19,4/28/2011,424,427,419,420,0,1190,500770
19,20,5/2/2011,420,415,407,414,0,2150,877950
20,21,5/3/2011,414,406,396,399,0,1530,611440
21,22,5/4/2011,399,406,406,406,0,100,40600
22,23,5/5/2011,406,405,402,402,0,810,327000
23,24,5/8/2011,402,410,406,406,0,400,163200
24,25,5/10/2011,406,406,406,406,0,300,121800
25,26,5/11/2011,406,406,400,406,0,830,333610
26,27,5/12/2011,406,408,406,408,0,1090,442720
27,28,5/15/2011,408,406,406,406,0,200,81200
28,29,5/16/2011,406,407,405,405,0,600,243500
29,30,5/18/2011,405,410,406,406,0,310,126660
30,31,5/19/2011,406,406,404,404,0,400,162100
31,32,5/22/2011,404,405,403,403,0,400,161600
32,33,5/23/2011,403,403,400,403,0,730,292640
33,34,5/24/2011,403,400,399,399,0,370,147700
34,35,5/25/2011,399,402,399,399,0,450,179850
35,36,5/26/2011,399,414,398,414,0,1520,608100
36,37,5/30/2011,414,406,398,402,0,830,332950
37,38,5/31/2011,402,399,394,395,0,2700,1069800
38,39,6/1/2011,395,401,399,399,0,500,199700
39,40,6/2/2011,399,399,398,399,0,280,111550
40,41,6/5/2011,399,395,390,390,0,900,353100
41,42,6/6/2011,390,390,385,385,0,550,213750
42,43,6/7/2011,385,389,380,380,0,1700,655700
43,44,6/8/2011,380,381,370,370,0,3970,1499080
44,45,6/9/2011,370,377,365,377,0,980,362490
45,46,6/12/2011,377,381,352,366,0,10110,3679160
46,47,6/13/2011,366,377,366,377,0,950,350950
47,48,6/14/2011,377,380,377,378,0,510,192880
48,49,6/15/2011,378,385,375,376,0,3130,1180650
49,50,6/16/2011,376,392,376,392,0,1450,552000
50,51,6/19/2011,392,417,399,417,0,1200,491500
51,52,6/20/2011,392,417,399,417,0,1200,491500
52,53,6/21/2011,415,428,415,420,0,4600,1926100
53,54,6/23/2011,420,446,423,446,0,6060,2624350
54,55,6/26/2011,446,455,402,402,0,4360,1914710
55,56,6/27/2011,402,395,381,381,0,2250,866850
56,57,6/29/2011,381,385,370,385,0,2350,880950
57,58,6/30/2011,385,414,385,414,0,1120,438640
58,59,7/3/2011,414,414,391,400,0,1280,511240
59,60,7/4/2011,400,405,398,405,0,400,159900
60,61,7/5/2011,405,421,412,421,0,1690,701160
61,62,7/6/2011,421,421,413,420,0,550,229750
62,63,7/7/2011,420,420,400,405,0,500,204200
63,64,7/10/2011,405,413,410,413,0,640,264020
64,65,7/11/2011,413,407,400,400,0,610,244770
65,66,7/12/2011,400,416,408,415,0,360,148180
66,67,7/13/2011,415,425,407,413,0,2210,918350
67,68,7/14/2011,413,419,408,419,0,2820,1162700
68,69,7/17/2011,419,435,427,435,0,310,134050
69,70,7/18/2011,435,451,417,425,0,1660,719700
70,71,7/19/2011,425,425,425,425,0,1710,726750
71,72,7/20/2011,425,439,420,439,0,2660,1143940
72,73,7/21/2011,439,435,425,427,0,1740,744770
73,74,7/24/2011,427,419,414,415,0,1180,489420
74,75,7/25/2011,415,415,415,415,0,280,116200
75,76,7/26/2011,415,419,400,415,0,1810,734740
76,77,7/27/2011,415,420,405,420,0,5040,2063380
77,78,7/28/2011,420,421,413,421,0,210,87310
78,79,7/31/2011,421,417,415,417,0,950,394500
79,80,8/1/2011,417,415,415,415,0,50,20750
80,81,8/2/2011,415,416,415,415,0,200,83100
81,82,8/3/2011,415,416,411,414,0,1260,519240
82,83,8/4/2011,414,424,412,424,0,3160,1306480
83,84,8/7/2011,424,416,408,408,0,500,206400
84,85,8/8/2011,408,414,400,414,0,1690,678800
85,86,8/9/2011,414,409,405,405,0,650,265050
86,87,8/10/2011,405,413,410,410,0,850,349700
87,88,8/11/2011,410,410,408,410,0,400,163600
88,89,8/15/2011,410,410,400,410,0,1870,755470
89,90,8/16/2011,410,415,410,415,0,420,173500
90,91,8/17/2011,415,415,408,410,0,2130,874050
91,92,8/18/2011,410,415,408,408,0,460,188980
92,93,8/22/2011,408,412,408,409,0,630,257670
93,94,8/23/2011,409,410,410,410,0,20,8200
94,95,8/24/2011,410,412,405,412,0,765,312025
95,96,8/25/2011,412,418,410,410,0,570,235360
96,97,8/28/2011,410,415,405,405,0,645,264735
97,98,8/29/2011,405,413,401,413,0,940,383480
98,99,8/30/2011,413,418,405,410,0,1580,645140
99,100,9/1/2011,410,420,415,420,0,500,209300
100,101,9/4/2011,420,426,411,411,0,2480,1026930
101,102,9/5/2011,411,416,410,416,0,1190,492750
102,103,9/6/2011,416,421,410,411,0,1060,437510
103,104,9/7/2011,411,415,408,411,0,2055,843080
104,105,9/8/2011,411,411,403,411,0,1185,482855
105,106,9/12/2011,411,411,405,409,0,1350,548550
106,107,9/13/2011,409,407,405,407,0,1930,782250
107,108,9/14/2011,407,405,400,405,0,1330,535390
108,109,9/15/2011,405,405,401,405,0,1050,422650
109,110,9/18/2011,405,405,402,402,0,1100,443900
110,111,9/19/2011,402,402,398,400,0,2280,912100
111,112,9/20/2011,400,402,400,402,0,2550,1020100
112,113,9/21/2011,402,410,400,410,0,500,202900
113,114,9/22/2011,410,416,404,404,0,1200,491100
114,115,9/25/2011,404,415,410,415,0,450,185400
115,116,9/26/2011,415,420,416,419,0,350,146100
116,117,9/27/2011,419,419,410,415,0,840,346000
117,118,9/29/2011,415,417,415,415,0,560,232645
118,119,10/2/2011,415,407,407,407,0,5000,2035000
119,120,10/10/2011,407,414,411,414,0,300,123650
120,121,10/12/2011,414,416,414,416,0,1600,664000
121,122,10/13/2011,416,417,411,411,0,2100,867300
122,123,10/16/2011,411,413,409,411,0,990,406390
123,124,10/17/2011,411,414,409,414,0,1330,545020
124,125,10/20/2011,414,415,412,413,0,1635,676120
125,126,10/23/2011,413,418,410,410,0,1490,613320
126,127,10/24/2011,410,411,411,411,0,500,205500
127,128,10/25/2011,411,418,414,418,0,700,290600
128,129,10/30/2011,418,417,415,417,0,370,153950
129,130,10/31/2011,417,420,417,420,0,400,167200
130,131,11/2/2011,420,436,428,436,0,620,267760
131,132,11/3/2011,436,436,416,436,0,4130,1763320
132,133,11/6/2011,436,428,420,421,0,700,295650
133,134,11/8/2011,421,426,415,415,0,475,199155
134,135,11/9/2011,415,420,420,420,0,310,130200
135,136,11/10/2011,420,421,417,417,0,750,313850
136,137,11/13/2011,417,422,412,419,0,1725,723370
137,138,11/14/2011,419,431,415,431,0,1910,802110
138,139,11/15/2011,431,431,415,418,0,1040,439320
139,140,11/16/2011,418,422,419,420,0,980,412020
140,141,11/17/2011,420,429,421,429,0,1850,782900
141,142,11/20/2011,429,430,425,430,0,1465,625305
142,143,11/21/2011,430,430,430,430,0,150,64500
143,144,11/22/2011,430,430,428,430,0,800,343400
144,145,11/23/2011,430,429,421,421,0,935,395375
145,146,11/24/2011,421,421,421,421,0,1350,568350
146,147,11/27/2011,421,425,419,420,0,1325,560105
147,148,11/28/2011,420,421,418,420,0,990,415860
148,149,12/1/2011,425,425,420,421,0,1100,463200
149,150,12/4/2011,421,426,415,422,0,1060,446570
150,151,12/5/2011,422,425,415,419,0,5810,2433110
151,152,12/6/2011,419,425,421,421,0,2260,952810
152,153,12/7/2011,421,426,424,425,0,1635,695065
153,154,12/8/2011,425,430,427,428,0,710,303600
154,155,12/11/2011,428,429,425,425,0,820,350030
155,156,12/12/2011,425,425,422,425,0,200,84700
156,157,12/13/2011,425,427,419,419,0,1410,593990
157,158,12/14/2011,419,425,417,425,0,1710,723650
158,159,12/15/2011,425,427,423,425,0,625,265475
159,160,12/18/2011,425,421,421,421,0,200,84200
160,161,12/20/2011,421,424,420,420,0,1205,507155
161,162,12/21/2011,420,426,420,420,0,550,231300
162,163,12/26/2011,420,420,420,420,0,760,319200
163,164,12/27/2011,420,421,421,421,0,295,124195
164,165,12/28/2011,421,426,419,423,0,300,126800
165,166,12/29/2011,423,422,420,422,0,600,252400
166,167,1/1/2012,422,430,425,427,0,450,191780
167,168,1/2/2012,427,436,420,436,0,1055,452860
168,169,1/3/2012,436,435,430,435,0,1270,546250
169,170,1/4/2012,435,437,425,425,0,2020,865940
170,171,1/5/2012,425,435,420,435,0,1040,440100
171,172,1/8/2012,435,434,427,427,0,1885,812555
172,173,1/9/2012,427,437,424,430,0,2855,1226265
173,174,1/10/2012,435,446,435,438,0,2310,1010520
174,175,1/11/2012,438,440,433,439,0,2800,1223400
175,176,1/12/2012,439,440,438,439,0,650,285300
176,177,1/16/2012,439,443,440,443,0,2205,973110
177,178,1/17/2012,443,448,448,448,0,100,44800
178,179,1/18/2012,448,450,440,440,0,1100,485400
179,180,1/19/2012,440,440,438,438,0,1260,552880
180,181,1/22/2012,438,444,435,444,0,385,167665
181,182,1/23/2012,444,438,435,437,0,875,381500
182,183,1/25/2012,437,438,434,436,0,980,426020
183,184,1/26/2012,436,436,436,436,0,1490,649640
184,185,1/29/2012,436,439,432,436,0,6345,2747225
185,186,1/31/2012,436,439,434,436,0,950,414700
186,187,2/1/2012,436,439,434,439,0,410,178790
187,188,2/2/2012,439,438,431,438,0,2000,866500
188,189,2/5/2012,438,435,435,435,0,600,261000
189,190,2/6/2012,435,436,433,433,0,4205,1825510
190,191,2/7/2012,433,438,433,433,0,2280,989140
191,192,2/8/2012,433,436,431,434,0,2770,1201770
192,193,2/9/2012,434,436,433,435,0,1090,473930
193,194,2/12/2012,435,435,433,433,0,2375,1030605
194,195,2/13/2012,433,437,433,435,0,1630,708720
195,196,2/14/2012,435,437,435,435,0,1965,855895
196,197,2/15/2012,435,437,435,436,0,4900,2136000
197,198,2/16/2012,436,441,438,441,0,855,375900
198,199,2/21/2012,441,443,441,441,0,1835,811785
199,200,2/23/2012,441,446,444,445,0,10500,4677300
200,201,2/26/2012,445,444,440,444,0,2700,1193450
201,202,2/27/2012,444,447,443,445,0,1260,559100
202,203,2/28/2012,445,453,445,447,0,3350,1501820
